AccountCompany();GMTdif;ChangeMode
A+T Advised Trading SA;2;0
Activtrades Ltd;2;0
Admiral Markets AS;1;0
Admiral Markets Ltd.;1;0
ACM Advanced Currency Markets S.A.;0;2
AForex Ltd.;4;3
AFX Capital Markets Ltd;2;0
Akmos Trade, Ltd.;2;0
AL Trade Inc.;3;0
Alpari (UK) Ltd.;2;0
Alpari (US), LLC.;2;0
Alpari Ltd.;2;0
Alpari NZ Limited;3;0
Alpha Broker Capital, Ltd.;0;2
ATC Brokers;-4;1
ATC Brokers - $8 Commission;-4;1
Ava Financial Ltd.;1;0
AxiCorp Financial Services Pty Ltd;3;1
Basel Financial Inc.;1;0
Beaverhead Financial Inc.;3;0
Belvedere Inc.;3;0
Boston Merchant Financial, Ltd.;-4;1
BroCo Investments Inc.;2;0
BrokerCreditService (Cyprus) Limited;2;0
Butenix Capital Ltd;2;2
CB Financial Services Limited;1;0
C B Financial Services Limited;1;0
Comfybroc Finance Ltd;3;1
Dealing City Inc;2;0
DEVLANI Investment Corp.;2;0
Digital Dealing Corp.;3;1
Dolleet Ltd.;2;0
Dukascopy (Suisse) SA;3;0
Dunboyne Investment, S.A.;1;2
Dunhill Scott Inc.;3;3
E-Global Trade & Finance Group, Inc.;2;0
EuroForex Development LLC.;3;1
EuroOrient Securities&Financial Services Ltd;3;0
EuroStar Group Ltd;2;1
Exness Ltd.;1;1
FastBrokersFX.com;3;1
FIBO Group, Ltd.;2;0
FBS Inc;3;0
Fienex Group Ltd.;3;0
FIG Solutions Limited;2;0
FINAM Limited;2;0
Financial Company Rinkost Ltd;2;1
FinFx Trading Oy;3;0
FinMarket Ltd.;2;2
FinMBC Investment Ltd.;2;0
Foreign Exchange Clearing House Ltd;-4;1
Forex Best;2;0
Forex Capital Markets, LLC;1;1
Forex Club International Limited;0;2
Forex Ltd.;2;2
Forex Market Gates;1;0
Forex MMCIS group;2;0
Forex Place;2;2
FOREX.com;0;2
ForexGen LLC.;3;3
FTC Invest,Inc;3;0
FX Central Clearing Ltd.;3;0
FX direct S.A.;1;1
FX Clearing Group, Inc.;3;0
FX Global Capital Pty Ltd;2;0
FXCM;2;0
FXCM Liquidity Connection;2;0
FxCompany Financial Group Ltd;3;0
FxCompany Ltd.;3;0
FXDD Malta;3;1
FXDirectDealer;3;1
FX-Invest Group Inc.;2;1
FXLite LLC;3;1
FXOpen Investments Inc.;3;0
FXPRO Financial Services Ltd;3;0
Gallant Capital Markets;0;1
Gallant FX;1;2
GAIN Capital - Forex.com UK Ltd.;0;2
GCI Financial Ltd.;-4;1
Global Tradewaves Ltd.;4;3
Go Markets Pty Ltd;2;2
Grand Capital Ltd.;2;3
Hantec Markets Ltd;1;0
HF Markets Ltd;3;0
I Securities Global Ltd.;2;0
IamFX Inc.;0;0
IBCapital Inc.;3;1
IKON;3;1
Ikon Matrix;3;1
Infinity Markets;3;0
InstaTrade Corporation;3;1
InstaForex Companies Group;3;1
Integra Capital Ltd.;2;0
Intellisource Markets B.V;3;0
Interbank FX, LLC;1;2
InvestTechFx Technologies Inc.;1;0
iPForex Corp.;2;0
IronFX Financial Services Ltd.;3;0
ISIGroup Ltd.;3;0
I-Trade FX, LLC;-4;0
Jade Investments Group, LLC;1;2
JadeFX;1;0
Kingdom Forex Ltd.;2;0
Lefco Bank;2;0
Liquidity Connection;2;0
LiteForex Group of Companies;3;2
MasterForex;3;0
MB Trading Futures, Inc.;-4;1
MBC Financial Services Ltd;1;2
MIG Investments SA;2;0
MoneyRain Corporation;0;2
MRC Markets;0;2
MRC Markets Inc.;0;2
Mutual Enterprises LLP;2;0
Nord Group Investments Inc.;2;0
NordMarkets.com;1;2
North Finance Company Ltd;3;0
North-West Financial Broker;2;0
ODL Securities;0;2
One Corporation;1;2
Pepperstone Financial Pty Ltd;3;1
Peregrine Financial Group, Inc;3;0
PFGBEST.com;3;0
Poltek Business Ltd.;3;2
Prime Forex Investment LLC;3;3
Pro Finance Group Inc.;2;2
RBC Forex Corp.;3;0
Riston Capital Ltd.;3;0
ROBOFOREX;3;0
RVD Investment Group Limited;0;2
SigmaForex;3;3
Skopalino Trading Limited;3;0
Silarion Trading Ltd.;3;1
Sparen, SA;2;1
SpotTrader;-4;1
Straighthold Investment Group, Inc.;3;0
STS Finance;3;0
Synergy-FX;0;2
SystemForex ;2;0
TADAWUL FX;2;0
Tadawulfx;2;0
Teletrade DJ Ltd Demo;2;2
Tetrabourse Group;4;1
The Collective FX LLC;1;2
Tradeview Forex;3;1
Trade-Group Provide Corp.;3;0
Trendoks IMG;2;3
TTCM Traders Trust Capital Markets Limited;0;2
Tycoon International Trading Ltd.;2;0
UMIS Group Ltd;4;0
United World Capital, Ltd.;3;1
Univell Ltd.;3;0
Vector Securities, Ltd.;2;0
Velocity4x;0;2
Vestfold Equities Inc.;2;0
Virgin Capital LTD;2;0
Wega Trade Ltd.;3;0
World Forex Corp.;2;0
X-Trade Brokers Ukraine;2;0
