AccountCompany();GMTdif;ChangeMode
A+T Advised Trading SA;2;0
Activtrades Ltd;2;0
Admiral Markets Ltd.;1;0
AForex Ltd.;4;3
Akmos Trade, Ltd.;2;0
AL Trade Inc.;3;0
Alpari (UK) Ltd.;2;0
Alpari Ltd.;2;0
Alpari NZ Limited;2;0
Alpha Broker Capital, Ltd.;0;2
ATC Brokers;4;1
Beaverhead Financial Inc.;3;0
Belvedere Inc.;3;0
Boston Merchant Financial, Ltd.;-4;1
BroCo Investments Inc.;2;1
BrokerCreditService (Cyprus) Limited;2;0
Comfybroc Finance Ltd;3;1
Digital Dealing Corp.;3;1
Dunboyne Investment, S.A.;1;2
Dunhill Scott Inc.;3;3
E-Global Trade & Finance Group, Inc.;2;0
EuroForex Development LLC.;3;1
EuroOrient Securities&Financial Services Ltd;3;0
FastBrokersFX.com;3;1
FIBO Group, Ltd.;2;0
Fienex Group Ltd.;3;0
FINAM Limited;2;0
Financial Company Rinkost Ltd;2;1
FinMarket Ltd.;2;2
FinMBC Investment Ltd.;2;0
Foreign Exchange Clearing House Ltd;-4;1
Forex Best;2;0
Forex Ltd.;2;2
Forex Market Gates;1;0
FOREX.com;0;2
ForexGen LLC.;3;3
FTC Invest,Inc;3;0
FX direct S.A.;1;1
FxCompany Ltd.;3;0
FXDirectDealer;3;1
FX-Invest Group Inc.;2;1
FXLite LLC;3;1
FXOpen Investments Inc.;3;0
GCI Financial Ltd.;-4;1
Global Tradewaves Ltd.;5;3
Grand Capital Ltd.;2;3
IBCapital Inc.;2;0
InstaTrade Corporation;3;1
Integra Capital Ltd.;2;0
Interbank FX, LLC;1;2
iPForex Corp.;2;0
ISIGroup Ltd.;3;0
I-Trade FX, LLC;-4;0
Lefco Bank;2;0
Liquidity Connection;2;0
MBC Financial Services Ltd;1;2
MIG Investments SA;2;1
MoneyRain Corporation;0;2
MRC Markets Inc.;0;2
Mutual Enterprises LLP;2;0
Nord Group Investments Inc.;2;0
North Finance Company Ltd;3;0
North-West Financial Broker;2;0
ODL Securities;0;2
Peregrine Financial Group, Inc;-4;1
PFGBEST.com;3;0
Poltek Business Ltd.;3;2
RBC Forex Corp.;3;0
Riston Capital Ltd.;3;0
SigmaForex;3;3
Sparen, SA;2;1
SpotTrader;-4;1
Straighthold Investment Group, Inc.;3;1
STS Finance;3;0
SystemForex ;2;0
TADAWUL FX;2;0
Tadawulfx;2;0
Tetrabourse Group;4;1
Trade-Group Provide Corp.;3;0
Trendoks IMG;2;3
Tycoon International Trading Ltd.;2;0
UMIS Group Ltd;4;0
United World Capital, Ltd.;3;1
Univell Ltd.;3;0
Vector Securities, Ltd.;2;0
Velocity4x;0;2
Vestfold Equities Inc.;2;0
Wega Trade Ltd.;3;0
World Forex Corp.;2;0
X-Trade Brokers Ukraine;2;0
Таганрог;3;0
